2023-05-03 13:11:11.528 [http-nio-8080-exec-8] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Starting...
2023-05-03 13:11:11.911 [http-nio-8080-exec-8] INFO  com.zaxxer.hikari.pool.HikariPool - MakuHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@efe539f
2023-05-03 13:11:11.914 [http-nio-8080-exec-8] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Start completed.
2023-05-03 13:20:36.273 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown initiated...
2023-05-03 13:20:36.276 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown completed.
2023-05-03 13:20:40.008 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-05-03 13:20:40.052 [main] INFO  top.whf.ServerApplication - Starting ServerApplication using Java 17.0.1 with PID 22816 (D:\Github\api-boot\api-server\target\classes started by 26570 in D:\Github\api-boot)
2023-05-03 13:20:40.054 [main] INFO  top.whf.ServerApplication - The following 1 profile is active: "dev"
2023-05-03 13:20:40.933 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-05-03 13:20:40.936 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-05-03 13:20:40.986 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 29 ms. Found 0 Redis repository interfaces.
2023-05-03 13:20:41.643 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-03 13:20:41.644 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.35] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [2.0.1]
2023-05-03 13:20:41.644 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
2023-05-03 13:20:41.647 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
2023-05-03 13:20:41.656 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-03 13:20:41.656 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-03 13:20:41.656 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-05-03 13:20:41.758 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-03 13:20:41.759 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1662 ms
2023-05-03 13:20:44.383 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5ea0a7a9, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@278c998, org.springframework.security.web.context.SecurityContextHolderFilter@7097d921, org.springframework.security.web.header.HeaderWriterFilter@102ecb61, org.springframework.security.web.authentication.logout.LogoutFilter@18b30951, top.whf.security.filter.AuthenticationTokenFilter@58e02359, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3bb4c2b2, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4fbc516f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@25e353dc, org.springframework.security.web.session.SessionManagementFilter@30ed4034, org.springframework.security.web.access.ExceptionTranslationFilter@5bb39285, org.springframework.security.web.access.intercept.AuthorizationFilter@1a88d194]
2023-05-03 13:20:44.774 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-05-03 13:20:44.797 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-03 13:20:44.807 [main] INFO  top.whf.ServerApplication - Started ServerApplication in 5.174 seconds (process running for 6.216)
2023-05-03 13:20:51.986 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-03 13:20:51.986 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-03 13:20:51.988 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2023-05-03 13:20:53.140 [http-nio-8080-exec-8] INFO  org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 539 ms
2023-05-03 13:20:59.179 [http-nio-8080-exec-13] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Starting...
2023-05-03 13:20:59.520 [http-nio-8080-exec-13] INFO  com.zaxxer.hikari.pool.HikariPool - MakuHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@df8579e
2023-05-03 13:20:59.522 [http-nio-8080-exec-13] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Start completed.
2023-05-03 13:21:26.533 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown initiated...
2023-05-03 13:21:26.536 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown completed.
2023-05-03 13:21:30.069 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-05-03 13:21:30.126 [main] INFO  top.whf.ServerApplication - Starting ServerApplication using Java 17.0.1 with PID 21600 (D:\Github\api-boot\api-server\target\classes started by 26570 in D:\Github\api-boot)
2023-05-03 13:21:30.128 [main] INFO  top.whf.ServerApplication - The following 1 profile is active: "dev"
2023-05-03 13:21:31.015 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
